,OCCUR_TIME,Value
0,2023-01-01 00:00:00,
1,2023-01-01 00:15:00,0.2797
2,2023-01-01 00:30:00,0.2922
3,2023-01-01 00:45:00,0.2893
4,2023-01-01 01:00:00,0.2909
5,2023-01-01 01:15:00,0.2857
6,2023-01-01 01:30:00,0.2799
7,2023-01-01 01:45:00,0.2949
8,2023-01-01 02:00:00,0.292
9,2023-01-01 02:15:00,0.2839
10,2023-01-01 02:30:00,0.2868
11,2023-01-01 02:45:00,0.2906
12,2023-01-01 03:00:00,0.2815
13,2023-01-01 03:15:00,0.291
14,2023-01-01 03:30:00,0.2802
15,2023-01-01 03:45:00,0.2881
16,2023-01-01 04:00:00,0.2879
17,2023-01-01 04:15:00,0.2899
18,2023-01-01 04:30:00,0.2943
19,2023-01-01 04:45:00,0.2793
20,2023-01-01 05:00:00,0.2896
21,2023-01-01 05:15:00,0.2936
22,2023-01-01 05:30:00,0.2915
23,2023-01-01 05:45:00,0.291
24,2023-01-01 06:00:00,0.297
25,2023-01-01 06:15:00,0.2836
26,2023-01-01 06:30:00,0.2938
27,2023-01-01 06:45:00,0.2965
28,2023-01-01 07:00:00,0.3004
29,2023-01-01 07:15:00,0.0062
30,2023-01-01 07:30:00,0.6093
31,2023-01-01 07:45:00,1.8758
32,2023-01-01 08:00:00,2.6115
33,2023-01-01 08:15:00,6.1717
34,2023-01-01 08:30:00,10.4749
35,2023-01-01 08:45:00,16.8392
36,2023-01-01 09:00:00,20.3879
37,2023-01-01 09:15:00,25.7978
38,2023-01-01 09:30:00,29.8436
39,2023-01-01 09:45:00,27.878
40,2023-01-01 10:00:00,32.7641
41,2023-01-01 10:15:00,31.4403
42,2023-01-01 10:30:00,33.2672
43,2023-01-01 10:45:00,42.5965
44,2023-01-01 11:00:00,46.9415
45,2023-01-01 11:15:00,43.2418
46,2023-01-01 11:30:00,49.9335
47,2023-01-01 11:45:00,48.0976
48,2023-01-01 12:00:00,50.2066
49,2023-01-01 12:15:00,35.6963
50,2023-01-01 12:30:00,43.0633
51,2023-01-01 12:45:00,42.9628
52,2023-01-01 13:00:00,31.6461
53,2023-01-01 13:15:00,22.4901
54,2023-01-01 13:30:00,21.0666
55,2023-01-01 13:45:00,21.9009
56,2023-01-01 14:00:00,21.1421
57,2023-01-01 14:15:00,28.0176
58,2023-01-01 14:30:00,20.8094
59,2023-01-01 14:45:00,23.1944
60,2023-01-01 15:00:00,21.4391
61,2023-01-01 15:15:00,7.582
62,2023-01-01 15:30:00,8.7553
63,2023-01-01 15:45:00,6.7865
64,2023-01-01 16:00:00,4.7127
65,2023-01-01 16:15:00,3.4358
66,2023-01-01 16:30:00,2.2328
67,2023-01-01 16:45:00,1.1172
68,2023-01-01 17:00:00,0.1911
69,2023-01-01 17:15:00,0.3643
70,2023-01-01 17:30:00,0.3181
71,2023-01-01 17:45:00,0.2942
72,2023-01-01 18:00:00,0.2932
73,2023-01-01 18:15:00,0.286
74,2023-01-01 18:30:00,0.2974
75,2023-01-01 18:45:00,0.2965
76,2023-01-01 19:00:00,0.3006
77,2023-01-01 19:15:00,0.2942
78,2023-01-01 19:30:00,0.291
79,2023-01-01 19:45:00,0.2869
80,2023-01-01 20:00:00,0.2878
81,2023-01-01 20:15:00,0.2844
82,2023-01-01 20:30:00,0.2927
83,2023-01-01 20:45:00,0.2937
84,2023-01-01 21:00:00,0.2867
85,2023-01-01 21:15:00,0.2892
86,2023-01-01 21:30:00,0.2941
87,2023-01-01 21:45:00,0.2889
88,2023-01-01 22:00:00,0.288
89,2023-01-01 22:15:00,0.2852
90,2023-01-01 22:30:00,0.305
91,2023-01-01 22:45:00,0.2979
92,2023-01-01 23:00:00,0.2748
93,2023-01-01 23:15:00,0.2782
94,2023-01-01 23:30:00,0.2852
95,2023-01-01 23:45:00,0.2867
96,2023-01-02 00:00:00,0.2857
97,2023-01-02 00:15:00,0.2854
98,2023-01-02 00:30:00,0.288
99,2023-01-02 00:45:00,0.2769
100,2023-01-02 01:00:00,0.2823
101,2023-01-02 01:15:00,0.2922
102,2023-01-02 01:30:00,0.2851
103,2023-01-02 01:45:00,0.293
104,2023-01-02 02:00:00,0.2917
105,2023-01-02 02:15:00,0.2804
106,2023-01-02 02:30:00,0.2862
107,2023-01-02 02:45:00,0.2941
108,2023-01-02 03:00:00,0.2813
109,2023-01-02 03:15:00,0.2943
110,2023-01-02 03:30:00,0.2996
111,2023-01-02 03:45:00,0.2919
112,2023-01-02 04:00:00,0.2913
113,2023-01-02 04:15:00,0.3
114,2023-01-02 04:30:00,0.2841
115,2023-01-02 04:45:00,0.2875
116,2023-01-02 05:00:00,0.2974
117,2023-01-02 05:15:00,0.279
118,2023-01-02 05:30:00,0.2983
119,2023-01-02 05:45:00,0.2936
120,2023-01-02 06:00:00,0.2817
121,2023-01-02 06:15:00,0.2911
122,2023-01-02 06:30:00,0.296
123,2023-01-02 06:45:00,0.2936
124,2023-01-02 07:00:00,0.3201
125,2023-01-02 07:15:00,0.4834
126,2023-01-02 07:30:00,2.612
127,2023-01-02 07:45:00,4.9897
128,2023-01-02 08:00:00,7.7074
129,2023-01-02 08:15:00,10.9258
130,2023-01-02 08:30:00,20.6937
131,2023-01-02 08:45:00,23.2024
132,2023-01-02 09:00:00,36.6134
133,2023-01-02 09:15:00,42.0452
134,2023-01-02 09:30:00,46.9239
135,2023-01-02 09:45:00,51.1115
136,2023-01-02 10:00:00,51.3085
137,2023-01-02 10:15:00,55.7077
138,2023-01-02 10:30:00,60.4035
139,2023-01-02 10:45:00,63.4122
140,2023-01-02 11:00:00,65.6685
141,2023-01-02 11:15:00,65.122
142,2023-01-02 11:30:00,42.3891
143,2023-01-02 11:45:00,65.289
144,2023-01-02 12:00:00,68.0197
145,2023-01-02 12:15:00,67.7582
146,2023-01-02 12:30:00,67.2495
147,2023-01-02 12:45:00,66.1947
148,2023-01-02 13:00:00,65.7166
149,2023-01-02 13:15:00,62.8345
150,2023-01-02 13:30:00,49.6756
151,2023-01-02 13:45:00,46.6379
152,2023-01-02 14:00:00,34.8602
153,2023-01-02 14:15:00,39.326
154,2023-01-02 14:30:00,35.5789
155,2023-01-02 14:45:00,33.7468
156,2023-01-02 15:00:00,30.1725
157,2023-01-02 15:15:00,30.4254
158,2023-01-02 15:30:00,22.5181
159,2023-01-02 15:45:00,18.3163
160,2023-01-02 16:00:00,14.1316
161,2023-01-02 16:15:00,6.3989
162,2023-01-02 16:30:00,3.3332
163,2023-01-02 16:45:00,2.847
164,2023-01-02 17:00:00,0.9233
165,2023-01-02 17:15:00,0.2229
166,2023-01-02 17:30:00,0.3044
167,2023-01-02 17:45:00,0.296
168,2023-01-02 18:00:00,0.3175
169,2023-01-02 18:15:00,0.2973
170,2023-01-02 18:30:00,0.308
171,2023-01-02 18:45:00,0.3071
172,2023-01-02 19:00:00,0.3139
173,2023-01-02 19:15:00,0.2978
174,2023-01-02 19:30:00,0.3154
175,2023-01-02 19:45:00,0.303
176,2023-01-02 20:00:00,0.3045
177,2023-01-02 20:15:00,0.307
178,2023-01-02 20:30:00,0.305
179,2023-01-02 20:45:00,0.307
180,2023-01-02 21:00:00,0.309
181,2023-01-02 21:15:00,0.3097
182,2023-01-02 21:30:00,0.3016
183,2023-01-02 21:45:00,0.3095
184,2023-01-02 22:00:00,0.3069
185,2023-01-02 22:15:00,0.3055
186,2023-01-02 22:30:00,0.3078
187,2023-01-02 22:45:00,0.3095
188,2023-01-02 23:00:00,0.2988
189,2023-01-02 23:15:00,0.3038
190,2023-01-02 23:30:00,0.301
191,2023-01-02 23:45:00,0.301
192,2023-01-03 00:00:00,0.3002
193,2023-01-03 00:15:00,0.291
194,2023-01-03 00:30:00,0.3032
195,2023-01-03 00:45:00,0.303
196,2023-01-03 01:00:00,0.2877
197,2023-01-03 01:15:00,0.3004
198,2023-01-03 01:30:00,0.2896
199,2023-01-03 01:45:00,0.3028
200,2023-01-03 02:00:00,0.3031
201,2023-01-03 02:15:00,0.2958
202,2023-01-03 02:30:00,0.2993
203,2023-01-03 02:45:00,0.3004
